ACCESSION,SOURCE,HOST
OM489183,Candidatus Yamatotia cicadellidicola,Yamatotettix flavovittatus Matsumura
OM489181,Candidatus Yamatotia cicadellidicola,Yamatotettix flavovittatus Matsumura
OM489179,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489178,Candidatus Yamatotia cicadellidicola,Yamatotettix flavovittatus Matsumura
OM489177,Candidatus Yamatotia cicadellidicola,Yamatotettix flavovittatus Matsumura
OM489176,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489175,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489171,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489170,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489169,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489167,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489166,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489165,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489163,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489162,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489161,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
OM489160,Candidatus Karelsulcia muelleri,Yamatotettix flavovittatus Matsumura
MH337869,Rickettsia endosymbiont of Tunga penetrans,Tunga penetrans
KJ911209,'Clematis vitalba'/'Dictyophara europaea' flavescence doree,Clematis vitalba
KJ911208,'Clematis vitalba'/'Dictyophara europaea' flavescence doree,Clematis vitalba
KJ911207,'Clematis vitalba'/'Dictyophara europaea' flavescence doree,Clematis vitalba
KX159385,Spiroplasma endosymbiont of Glossina fuscipes fuscipes,Glossina fuscipes fuscipes
KX159384,Spiroplasma endosymbiont of Glossina fuscipes fuscipes,Glossina fuscipes fuscipes
KX159383,Spiroplasma endosymbiont of Glossina fuscipes fuscipes,Glossina fuscipes fuscipes
KR026921,Candidatus Cardinium hertigii,Culicoides victoriae
KR026920,Candidatus Cardinium hertigii,Culicoides victoriae
KR026915,Candidatus Cardinium hertigii,Culicoides multimaculatus
KR026912,Candidatus Cardinium hertigii,Culicoides imicola
KR026911,Candidatus Cardinium hertigii,Culicoides henryi
KR026907,Candidatus Cardinium hertigii,Culicoides brevitarsis
JQ009299,Candidatus Fritschea endosymbionts of Bemisia tabaci,Bemisia tabaci (biotype Q)
AY620432,secondary symbiont type-R of Cinara cedri,Cinara cedri
AY620431,Buchnera aphidicola (Cinara cedri),Cinara cedri
AY150562,uncultured Rhodococcus sp.,Tunga penetrans
AF536828,Anaplasma platys,dog
AF536827,Ehrlichia canis,dog
